standard_concept_id,source_code,concept_name,concept_type,domain_id,vocabulary_id
19068335,67263056088,temozolomide 100 MG Oral Capsule [Temodar],chemo,Drug,NDC
19008265,402102710,Vinblastine 1 MG/ML Injectable Solution,chemo,Drug,NDC
2211837,77295,"3-dimensional radiotherapy plan, including dose-volume histograms",radiation,Procedure,CPT4
1436683,93078201,Tamoxifen 20 MG Oral Tablet,chemo,Drug,NDC
44782118,G0338,LINEAR ACCELERATOR STERO PLN (Deprecated),radiation,Procedure,HCPCS
40164963,15059501,Megestrol Acetate 20 MG Oral Tablet [Megace],chemo,Drug,NDC
19077379,J9200,"Injection, floxuridine, 500 mg",chemo,Drug,HCPCS
19022830,42254024330,letrozole 2.5 MG Oral Tablet,chemo,Drug,NDC
40930194,63323012812,Dacarbazine 10 MG/ML Injectable Solution [Dacabazine],chemo,Drug,NDC
1592862,61703030926,1 ML vincristine sulfate 1 MG/ML Injection,chemo,Drug,NDC
19022830,62756051183,letrozole 2.5 MG Oral Tablet,chemo,Drug,NDC
2102056,11624,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",surgery,Procedure,CPT4
2102056,11624,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",radiation,Procedure,CPT4
19102502,60505290103,imatinib 400 MG Oral Tablet,chemo,Drug,NDC
35604235,J9207,"Injection, ixabepilone, 1 mg",chemo,Drug,HCPCS
42628954,703342911,60 ML ifosfamide 50 MG/ML Injection,chemo,Drug,NDC
1436683,54883425,tamoxifen 20 MG Oral Tablet,chemo,Drug,NDC
